imo,ism_name,ism_imo,ism_address,owner_name,owner_imo,owner_address,commercial_name,commercial_imo,commercial_address
9282041,SERTEL SHIPPING FZE,0024231,"Office E2-123F-53, PI-ELOB, Hamriyah Free Zone, Sharjah, United Arab Emirates.",NEO SHIPPING INC,6499774,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",NEO SHIPPING INC,6499774,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands."
9368223,VIJAYNAGAR VOYAGE SHIPPING PVT,0118850,"Unit 407, In Tower, Supertech Capetown, Sector 74, Noida, Dist Gautam Budh Nagar, Uttar Pradesh, 201301, India.",SIRAJ MARITIME LLC,0286631,"C/O: Vijaynagar Voyage Shipping Pvt Ltd Unit 407, In Tower, Supertech Capetown, Sector 74, Noida, Dist Gautam Budh Nagar, Uttar Pradesh, 201301, India.",VIJAYNAGAR VOYAGE SHIPPING PVT,0118850,"Unit 407, In Tower, Supertech Capetown, Sector 74, Noida, Dist Gautam Budh Nagar, Uttar Pradesh, 201301, India."
9231767,FMG DENIZCILIK SANAYI VE TIC,6350961,"Cumhuriyet Caddesi 167/4, Icadiye Mah, Selamiali, 34674, Istanbul, Turkey.",GLOBAL SHIPPING HOLDING LTD,6480611,"C/O: Oceanpack Ship Management Pvt Ltd Office A154, Plot 42A, Balaji Bhavan, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra, 400614, India.",OCEANPACK SHIP MANAGEMENT PVT,0047958,"Office A154, Plot 42A, Balaji Bhavan, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra, 400614, India."
9234666,JOYGUIDE SHIPPING MANAGEMENT,0195989,"Shanghai, China.",U BEACON SHIPPING CO LTD,0200588,"C/O: Nova Shipping Management Co Ltd Shanghai, China.",NOVA SHIPPING MANAGEMENT CO,0195975,"Shanghai, China."
9254862,BABYLON NAVIGATION DMCC,6204848,"Unit 2502, Preatoni Tower, Cluster L2, Jumeirah Lakes Towers, Dubai, United Arab Emirates.",TRYFO NAVIGATION INC,6206331,"C/O: Babylon Navigation DMCC Unit 2502, Preatoni Tower, Cluster L2, Jumeirah Lakes Towers, Dubai, United Arab Emirates.",BABYLON NAVIGATION DMCC,6204848,"Unit 2502, Preatoni Tower, Cluster L2, Jumeirah Lakes Towers, Dubai, United Arab Emirates."
9353125,HUBAL MARINE SHIP MANAGEMENT,6474016,"Office 5 & 6, 1st Floor, Shree Dattatray Tower, near Railway Station / Jain Mandir, Badlapur (W), Maharashtra, Mumbai, 421501, India.",ZHAO YAO SHIPPING LTD,0111089,"Room 18, Ho King Commercial Centre, 2-16, Fa Yuen Street, Mong Kok, Kowloon, Hong Kong, China.",ZHAO YAO SHIPPING LTD,0111089,"Room 18, Ho King Commercial Centre, 2-16, Fa Yuen Street, Mong Kok, Kowloon, Hong Kong, China."
9323314,LUMEN SHIP MANAGEMENT - FZCO,0019646,"Unit 405, 4th Floor, Jumeirah Business Center 5, Jumeirah Lakes Towers, Dubai, United Arab Emirates.",CENTAURI SERVICES LLC,0110029,"C/O: Lumen Ship Management - FZCO Unit 405, 4th Floor, Jumeirah Business Center 5, Jumeirah Lakes Towers, Dubai, United Arab Emirates.",CENTAURI SERVICES LLC,0110029,"C/O: Lumen Ship Management - FZCO Unit 405, 4th Floor, Jumeirah Business Center 5, Jumeirah Lakes Towers, Dubai, United Arab Emirates."
9242223,CHEMUL SHIPS MANAGEMENT CO LTD,6149195,"Room 2401, Block C, 6, Changning Lu, Shibei Qu, Qingdao, Shandong, 266000, China.",SYMI SHIPPING LTD,6186182,"80, Broad Street, Monrovia, Liberia.",SYMI SHIPPING LTD,6186182,"80, Broad Street, Monrovia, Liberia."
9328170,UNKNOWN,9991001,Unknown,WRASSE SHIP CO,6467703,"C/O: The Zulu Ships Management & Operation - Sole Proprietorship LLC Office 105, Madinat Zayed Tower, Muroor Road, Abu Dhabi, United Arab Emirates.",ZULU SHIPS MANAGEMENT,6509771,"Office 105, Madinat Zayed Tower, Muroor Road, Abu Dhabi, United Arab Emirates."
9310707,EAST GEMI ISLETMECILIGI AS,0026325,"Ic Kapi 111, A Blok, Hukukcular Towers, Mustafa Kemal Caddesi 66A, Cevizli Mah, Kartal, 34865, Istanbul, Turkey.",VAULT MARITIME & TRADING LTD,0020839,"C/O: Tokyo Gemi Isletmeciligi AS Daire 55, Kat 15, Beybi Giz Plaza, Maslak Meydan Sokak, Maslak Mah, 1, Sariyer, 34398, Istanbul, Turkey.",TOKYO GEMI ISLETMECILIGI AS,6477881,"Daire 55, Kat 15, Beybi Giz Plaza, Maslak Meydan Sokak, Maslak Mah, 1, Sariyer, 34398, Istanbul, Turkey."
8894536,SEA ENGINEERING LTD,5103516,"Ofis 2302, Liter A, Korpus 2, Room 15H, prospekt Stachek 48, St Petersburg, 198097, Russia.",LUKOIL-BUNKER,5147094,"Lit A, naberezhnaya Aptekarskaya 8, St Petersburg, 197022, Russia.",LUKOIL-BUNKER,5147094,"Lit A, naberezhnaya Aptekarskaya 8, St Petersburg, 197022, Russia."
