imo,ism_name,ism_imo,ism_address,owner_name,owner_imo,owner_address,commercial_name,commercial_imo,commercial_address
9233234,UNKNOWN,9991001,Unknown,LEONID MARINE INC,6260812,"C/O: Vroom Marine Ventures FZE X2-49, SAIF Suite, al-Dhaid Road, SAIF Zone, Sharjah, United Arab Emirates.",VROOM MARINE VENTURES FZE,6314720,"X2-49, SAIF Suite, al-Dhaid Road, SAIF Zone, Sharjah, United Arab Emirates."
9230098,GOLDEN LOTUS OIL GAS & REAL,6144804,"67, Pho Duc Chinh, Truc Bach Ward, Ba Dinh District, Hanoi City, Vietnam.",GOLDEN LOTUS OIL GAS & REAL,6144804,"67, Pho Duc Chinh, Truc Bach Ward, Ba Dinh District, Hanoi City, Vietnam.",GOLDEN LOTUS OIL GAS & REAL,6144804,"67, Pho Duc Chinh, Truc Bach Ward, Ba Dinh District, Hanoi City, Vietnam."
9271377,FLEET MANAGEMENT LTD-HKG,1601573,"27th Floor, South Island Place, 8, Wong Chuk Hang Road, Southern District, Hong Kong, China.",ZAHARA SHIPPING LTD,5460204,"C/O: New Shipping Ltd 57A, Poseidonos Avenue, Moschato, 183 44, Piraeus, Greece.",NEW SHIPPING LTD-LIB,5137597,"57A, Poseidonos Avenue, Moschato, 183 44, Piraeus, Greece."
9240407,ARNICA SHIP MANAGEMENT - FZCO,0129311,"Building A1, Dubai Digital Park, Dubai Silicon Oasis, Dubai, United Arab Emirates.",MISSISSIPPI RIVER SHIPPING LTD,0138469,"C/O: Arnica Ship Management - FZCO Building A1, Dubai Digital Park, Dubai Silicon Oasis, Dubai, United Arab Emirates.",ARNICA SHIP MANAGEMENT - FZCO,0129311,"Building A1, Dubai Digital Park, Dubai Silicon Oasis, Dubai, United Arab Emirates."
9290361,SURAAJ SHIP MANAGEMENT,0110338,"Office 2, 1st Floor, Shree Dattatray, near Railway Station, Badlapur 421501, India.",OYSTER SHIPPING & MARINE INC,0207863,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",OYSTER SHIPPING & MARINE INC,0207863,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands."
9282912,EXECUTIVE SHIP MANAGEMENT,1834165,"21-00/22-00, 78, Shenton Way, Singapore 079120",RIVIERA ENTERPRISES SA,5679384,"C/O: Hellenic Tankers Co Ltd 349, Kifisias Avenue, 145 61, Athens, Greece.",RIVIERA ENTERPRISES SA,5679384,"C/O: Hellenic Tankers Co Ltd 349, Kifisias Avenue, 145 61, Athens, Greece."
9299941,ARCADIA SHIPPING PTE LTD,5875139,"11-04/05, mTower, 460, Alexandra Road, Singapore 119963",CHANDRA MARITIME INTERNATIONAL,0202111,"28-00, One Marina Boulevard, 1, Marina Boulevard, Singapore 018989",CHANDRA MARITIME INTERNATIONAL,0202111,"28-00, One Marina Boulevard, 1, Marina Boulevard, Singapore 018989"
9277541,SEATOWN SHIPPING LTD,0142245,"Room 1604-12, Building 1, Antai Plaza, 28, Longcheng Lu, Shibei Qu Qingdao, Shandong, 266000, China.",ELXIS ENERGY CO LTD,0164876,"C/O: SeaTown Shipping Ltd Room 1604-12, Building 1, Antai Plaza, 28, Longcheng Lu, Shibei Qu Qingdao, Shandong, 266000, China.",SEATOWN SHIPPING LTD,0142245,"Room 1604-12, Building 1, Antai Plaza, 28, Longcheng Lu, Shibei Qu Qingdao, Shandong, 266000, China."
9307152,SEAZEN SHIPPING CO LTD,0286751,"Room 701, Unit 108, 7th Floor, Tower B New Mandarin Plaza, 14, Science Museum Road, Tsim Sha Tsui East, Kowloon, Hong Kong, China.",SEAZEN SHIPPING CO LTD,0286751,"Room 701, Unit 108, 7th Floor, Tower B New Mandarin Plaza, 14, Science Museum Road, Tsim Sha Tsui East, Kowloon, Hong Kong, China.",SEAZEN SHIPPING CO LTD,0286751,"Room 701, Unit 108, 7th Floor, Tower B New Mandarin Plaza, 14, Science Museum Road, Tsim Sha Tsui East, Kowloon, Hong Kong, China."
9337391,FLEET MANAGEMENT LTD-HKG,1601573,"27th Floor, South Island Place, 8, Wong Chuk Hang Road, Southern District, Hong Kong, China.",AFRANAV MARITIME LTD,6063849,"C/O: Fleet Management Ltd 27th Floor, South Island Place, 8, Wong Chuk Hang Road, Southern District, Hong Kong, China.",FLEET MANAGEMENT LTD-HKG,1601573,"27th Floor, South Island Place, 8, Wong Chuk Hang Road, Southern District, Hong Kong, China."
