IMO,Name,Type,Flag,Built,GT,DWT,Length,Width,is_shadow,Shadow_Probability
9299941,AMARIN INDAH,Crude Oil Tanker,Panama,2005,58225,106650,247.0,42.0,0,0.8839754441561126
9277541,SWIFT GALAXY,Crude Oil Tanker,Panama,2003,58158,107018,247.0,42.0,0,0.8833909028236203
9282912,AFRAMAX RIVIERA,Crude Oil Tanker,Panama,2005,57948,107113,247.0,42.0,0,0.8829083591824989
9404936,AFRA MARE,Crude Oil Tanker,Panama,2008,58614,105348,244.0,42.0,0,0.8820676857084633
9208136,VIGO,Crude Oil Tanker,Vietnam,2000,60100,105177,244.0,42.0,0,0.8817763608147402
9223344,REMIZ,Crude Oil Tanker,Panama,2002,57683,106532,240.0,42.0,0,0.8803878169482324
9296195,PAROS,Crude Oil Tanker,Panama,2003,58118,107197,247.0,42.0,0,0.8803727701791764
9307152,SEAZEN,Crude Oil Tanker,Panama,2005,56172,105712,239.0,42.0,0,0.8781714750510834
9290361,KAI 1,Crude Oil Tanker,Panama,2005,57162,105472,244.0,42.0,0,0.8775637474233664
9302970,SAGAR1,Crude Oil Tanker,Panama,2005,56146,106468,243.0,42.0,0,0.8774218713963027
9271377,TRIDENT HOPE,Crude Oil Tanker,Panama,2003,56365,105985,241.0,42.0,0,0.8774107048985283
9247821,BALSA,Crude Oil Tanker,Panama,2002,57529,106638,240.0,42.0,0,0.8772161976389513
9240407,PRINCESS SOFIA,Crude Oil Tanker,Panama,2003,57190,105857,244.0,42.0,0,0.8770694941385528
9270555,INTEGRITY RACER,Crude Oil Tanker,Panama,2003,58118,107215,247.0,42.0,0,0.8768107440406362
9229350,MARINE PEARL,Crude Oil Tanker,Panama,2002,57301,105661,244.0,42.0,0,0.8767846988312968
9337418,ATMOS,Crude Oil Tanker,Palau,2007,56172,105572,239.0,42.0,0,0.87650017826419
9297541,DOVE,Crude Oil Tanker,Panama,2006,58054,108386,246.0,42.0,0,0.8743006053266226
9346859,ANLAN,Crude Oil Tanker,Panama,2007,59611,110295,244.0,42.0,0,0.873285363470325
9358412,TIGER WINGS,Crude Oil Tanker,Panama,2008,61819,109672,244.0,42.0,0,0.8727168424651338
9370836,NEW AMORGOS,Crude Oil Tanker,Panama,2008,60195,107510,244.0,42.0,0,0.8723657886274039
9319698,CONCORD BREEZE,Crude Oil Tanker,Panama,2007,61822,109672,245.0,42.0,0,0.8719728761594283
9388728,BYZANTIUM,Crude Oil Tanker,Panama,2007,62863,108940,245.0,42.0,0,0.8713211043335299
9337391,ATHENS VOYAGER,Crude Oil Tanker,Panama,2007,56172,105614,238.0,42.0,0,0.8706966144212155
9252371,MT KIROHO,Crude Oil Tanker,Barbados,2003,57171,105995,244.0,42.0,0,0.8690586382623051
9276597,JING HAI,Crude Oil Tanker,Barbados,2004,58193,103755,244.0,42.0,0,0.8683194003089841
9233234,ELOISE,Crude Oil Tanker,Gabon,2002,57508,105709,244.0,42.0,0,0.8667611125317425
9321964,APOLLO,Crude Oil Tanker,Vietnam,2006,56172,105465,238.0,42.0,0,0.8665965118841034
9388807,GATTACA,Crude Oil Tanker,Panama,2009,62863,108929,245.0,42.0,0,0.865912405036774
9446116,TMN PLENITUDE,Crude Oil Tanker,Thailand,2009,56355,105860,241.0,42.0,0,0.8649819478406972
9256468,GAGAN,Crude Oil Tanker,Comoros,2003,58088,104864,244.0,42.0,0,0.8648655348400254
9397793,CORAL PEARL,Crude Oil Tanker,Panama,2009,59671,111410,246.0,42.0,0,0.8648104666869166
9397808,BLUEFIN PEARL,Crude Oil Tanker,Panama,2009,59671,111402,246.0,42.0,0,0.8648104666869166
9230098,JAMAICA,Crude Oil Tanker,Unknown,2001,59693,105946,248.0,43.0,0,0.8632465151120866
9199713,ELIAK,Crude Oil Tanker,Palau,1999,57331,106644,240.0,42.0,0,0.8609741497790264
9384564,SEARUN,Crude Oil Tanker,Palau,2008,59177,115325,244.0,42.0,0,0.8608256234251224
9422392,ZARUMA,Crude Oil Tanker,Panama,2009,57258,105073,238.0,42.0,0,0.8607197863828524
9291236,LONG XIANG,Crude Oil Tanker,Barbados,2005,60007,107091,248.0,43.0,0,0.8602278267281499
9402237,DOLPHIN PEARL,Crude Oil Tanker,Panama,2009,59408,114824,246.0,42.0,0,0.8583594484848648
9402249,ORCA PEARL,Crude Oil Tanker,Panama,2009,59408,114821,246.0,42.0,0,0.8583594484848648
9258480,ACHERON,Crude Oil Tanker,Barbados,2004,56227,105221,238.0,42.0,0,0.8550456040112747
9346885,SOLVANTE,Crude Oil Tanker,Barbados,2009,59611,110295,246.0,42.0,0,0.8547705555444177
9333785,SEADAR,Crude Oil Tanker,Barbados,2007,59164,115577,244.0,42.0,0,0.8530057785181778
9232450,FAUSTA,Crude Oil Tanker,Guyana,2002,57062,106106,244.0,42.0,0,0.8525966932939076
9232448,HALO 6,Crude Oil Tanker,Guyana,2002,57062,106149,244.0,42.0,0,0.8525966932939076
9292515,BREEZE III,Crude Oil Tanker,Panama,2005,62929,115525,250.0,44.0,0,0.8517214563810146
9255880,PHENIX VI,Crude Oil Tanker,Guyana,2002,59719,105588,248.0,43.0,0,0.851435777094653
9233208,FAAS,Crude Oil Tanker,Malawi,2002,62247,112664,250.0,44.0,0,0.851370533026034
9334727,DUGI OTOK,Crude Oil Tanker,Croatia,2008,59315,108414,246.0,42.0,0,0.8512019307927355
9251822,RIESCO,Crude Oil Tanker,Tonga,2003,57567,106500,231.0,42.0,0,0.8501403288289698
9237618,STAR LINE,Crude Oil Tanker,Curacao,2003,57508,105716,244.0,42.0,0,0.8499793177035686
9198094,ALA,Crude Oil Tanker,Guyana,2000,58125,104643,244.0,42.0,0,0.8482441326152129
9334739,OLIB,Crude Oil Tanker,Croatia,2009,59315,108433,246.0,42.0,0,0.8474162369892304
9360453,MARDAN,Crude Oil Tanker,Pakistan,2007,58168,107123,247.0,42.0,0,0.8472601890656963
9356426,MIRIAM B,Crude Oil Tanker,Guinea-Bissau,2008,61342,116075,249.0,44.0,0,0.8464028770603861
