IMO,Name,Type,Flag,Built,GT,DWT,Size
9842190,AKADEMIK GUBKIN,Crude Oil Tanker,Russia,2023,65141,112909,250 / 46
9866392,VOSTOCHNY PROSPECT,Crude Oil Tanker,Russia,2023,65141,112595,250 / 44
9901037,NIKOLAY ZADORNOV,Crude Oil Tanker,Russia,2022,65548,104748,259 / 42
9866380,OKEANSKY PROSPECT,Crude Oil Tanker,Russia,2022,65141,112651,250 / 44
9842188,VLADIMIR VINOGRADOV,Crude Oil Tanker,Russia,2022,65141,112960,250 / 44
9901025,VLADIMIR ARSENYEV,Crude Oil Tanker,Gambia,2022,65548,104569,259 / 42
9842176,VLADIMIR MONOMAKH,Crude Oil Tanker,Russia,2020,65141,112960,250 / 44
9867621,KHANKENDI,Crude Oil Tanker,Azerbaijan,2020,62826,115521,250 / 44
9843560,VOYAGER,Crude Oil Tanker,Oman,2019,64909,113310,250 / 44
9826902,GALAXY,Crude Oil Tanker,Oman,2019,64909,113232,250 / 44
9832547,STRIZH,Crude Oil Tanker,Russia,2018,62330,115643,250 / 44
9810513,KARABAKH,Crude Oil Tanker,Azerbaijan,2018,63487,106999,250 / 44
9832559,PROMETEY,Crude Oil Tanker,Russia,2018,62330,115643,250 / 44
9779941,SHUSHA,Crude Oil Tanker,Azerbaijan,2017,61032,113838,250 / 44
9842190,AKADEMIK GUBKIN,Crude Oil Tanker,Russia,2023,65141,112909,250 / 46
9866392,VOSTOCHNY PROSPECT,Crude Oil Tanker,Russia,2023,65141,112595,250 / 44
9901037,NIKOLAY ZADORNOV,Crude Oil Tanker,Russia,2022,65548,104748,259 / 42
9866380,OKEANSKY PROSPECT,Crude Oil Tanker,Russia,2022,65141,112651,250 / 44
9842188,VLADIMIR VINOGRADOV,Crude Oil Tanker,Russia,2022,65141,112960,250 / 44
9901025,VLADIMIR ARSENYEV,Crude Oil Tanker,Gambia,2022,65548,104569,259 / 42
9842176,VLADIMIR MONOMAKH,Crude Oil Tanker,Russia,2020,65141,112960,250 / 44
9867621,KHANKENDI,Crude Oil Tanker,Azerbaijan,2020,62826,115521,250 / 44
9843560,VOYAGER,Crude Oil Tanker,Oman,2019,64909,113310,250 / 44
9826902,GALAXY,Crude Oil Tanker,Oman,2019,64909,113232,250 / 44
9832547,STRIZH,Crude Oil Tanker,Russia,2018,62330,115643,250 / 44
9810513,KARABAKH,Crude Oil Tanker,Azerbaijan,2018,63487,106999,250 / 44
9041655,ZIRAN,LPG Tanker,Guyana,1992,44704,50400,230 / 37
9012886,FOGAS,LPG Tanker,Comoros,1993,42341,49255,224 / 36
9105140,TAIMYR,Oil Products Tanker,Russia,1995,11426,17095,161 / 24
9144782,BODHI,Crude Oil Tanker,Cameroon,1997,56127,106547,243 / 42
9127667,DRAGON VICTOR,Chemical/Oil Products Tanker,Angola,1997,21897,40727,189 / 29
9102277,ITAUGUA,Crude Oil Tanker,Comoros,1997,163882,300361,340 / 56
9105114,BLUE PHOENIX,Chemical/Oil Products Tanker,Cameroon,1997,26218,46144,181 / 32
9131357,ORION,Crude Oil Tanker,Cameroon,1997,71850,124768,265 / 42
9166675,FT ISLAND,Crude Oil Tanker,Honduras,1998,157976,311189,334 / 58
9154000,THEMIR,Chemical/Oil Products Tanker,Comoros,1998,20573,30952,175 / 28
9153525,LILLIAN,Crude Oil Tanker,Cameroon,1998,159423,299986,333 / 60
9163269,NEREIDA,Chemical/Oil Products Tanker,Comoros,1998,19257,35994,175 / 30
9137648,CARUZO,Crude Oil Tanker,Sierra Leone,1998,81148,146645,274 / 48
9198290,MD MIRANDA,Oil Products Tanker,Tonga,1999,28246,46408,183 / 32
9178068,KATSUYA,Oil Products Tanker,Gambia,1999,28546,47106,182 / 32
9198082,GLOBAL STAR,Crude Oil Tanker,Tonga,1999,58125,104556,244 / 42
9175078,ZAMBRA,Crude Oil Tanker,Cameroon,1999,81565,157327,274 / 48
9171448,IMPALAS,Crude Oil Tanker,Sao Tome & Principe,1999,157833,299167,332 / 58
9183295,NEON,Crude Oil Tanker,Sierra Leone,1999,57066,103967,244 / 42
9171498,CHILTERN,Chemical/Oil Products Tanker,Aruba,1999,29289,44999,183 / 32
9174397,XI,Crude Oil Tanker,Mali,1999,158281,311168,334 / 58
9168946,ZEVS,Crude Oil Tanker,Cameroon,1999,72449,126355,265 / 43
9208124,SKY RIDER,Chemical/Oil Products Tanker,Cameroon,2000,23235,37418,183 / 27
